lambda,fold,mse
0.014873521072935119,9,136.938305225797
0.014873521072935119,10,122.83713516596791
0.02592943797404667,1,150.01544898346137
0.02592943797404667,2,302.4942540398535
0.02592943797404667,3,239.5186118364949
0.02592943797404667,4,131.96276159941235
0.02592943797404667,5,236.48751250112187
0.02592943797404667,6,124.23749835535378
0.02592943797404667,7,158.40395724389157
0.02592943797404667,8,223.41289989334894
0.02592943797404667,9,136.93735569931653
0.02592943797404667,10,122.8367209316706
0.04520353656360245,1,150.01542022601
0.04520353656360245,2,302.4946321906406
0.04520353656360245,3,239.51679807857104
0.04520353656360245,4,131.96218043424687
0.04520353656360245,5,236.48733659845436
0.04520353656360245,6,124.2366400727999
0.04520353656360245,7,158.40457160001768
0.04520353656360245,8,223.41013964194565
0.04520353656360245,9,136.93570093629071
0.04520353656360245,10,122.83599894981316
0.07880462815669913,1,150.01537014500056
0.07880462815669913,2,302.49529234802856
0.07880462815669913,3,239.51363848255914
0.07880462815669913,4,131.96116765015051
0.07880462815669913,5,236.48703004911874
0.07880462815669913,6,124.23514453528875
0.07880462815669913,7,158.40564205559616
0.07880462815669913,8,223.40533225193704
0.07880462815669913,9,136.93281788306666
0.07880462815669913,10,122.8347407981711
0.1373823795883264,1,150.0152829973489
0.1373823795883264,2,302.49644599467547
0.1373823795883264,3,239.50813749190763
0.1373823795883264,4,131.95940318211413
0.1373823795883264,5,236.48649595810056
0.1373823795883264,6,124.23253954294825
0.1373823795883264,7,158.40750648391133
0.1373823795883264,8,223.3969654556167
0.1373823795883264,9,136.92779706378144
0.1373823795883264,10,122.83254894345201
0.2395026619987486,1,150.01513155611374
0.2395026619987486,2,302.49846556545197
0.2395026619987486,3,239.49856935636683
0.2395026619987486,4,131.9563306178771
0.2395026619987486,5,236.48556585315433
0.2395026619987486,6,124.22800493061263
0.2395026619987486,7,158.41075155540577
0.2395026619987486,8,223.38242199914063
0.2395026619987486,9,136.919060169981
0.2395026619987486,10,122.82873241696674
0.4175318936560405,1,150.01486901778006
0.4175318936560405,2,302.50201156779116
0.4175318936560405,3,239.48195521544545
0.4175318936560405,4,131.9509846934486
0.4175318936560405,5,236.48394740162465
0.4175318936560405,6,124.22012008527963
0.4175318936560405,7,158.41639291348352
0.4175318936560405,8,223.35719683940607
0.4175318936560405,9,136.90387747799105
0.4175318936560405,10,122.82209285200791
0.7278953843983154,1,150.0144157907087
0.7278953843983154,2,302.50826873693796
0.7278953843983154,3,239.4531911610195
0.7278953843983154,4,131.9416969813717
0.7278953843983154,5,236.48113518387103
0.7278953843983154,6,124.20643629113012
0.7278953843983154,7,158.4261797285013
0.7278953843983154,8,223.31360925195636
0.7278953843983154,9,136.8775557847129
0.7278953843983154,10,122.81055974256824
1.2689610031679235,1,150.0136391563631
1.2689610031679235,2,302.5193990118959
1.2689610031679235,3,239.40364533951194
1.2689610031679235,4,131.9256020553238
1.2689610031679235,5,236.4762611397147
1.2689610031679235,6,124.18276885849511
1.2689610031679235,7,158.44309727724277
1.2689610031679235,8,223.23878326128565
1.2689610031679235,9,136.83210948645362
1.2689610031679235,10,122.79057882728388
2.21221629107045,1,150.01232583972197
2.21221629107045,2,302.53944226168767
2.21221629107045,3,239.31905098751326
2.21221629107045,4,131.89783369232927
2.21221629107045,5,236.46785286850306
2.21221629107045,6,124.1420757796045
2.21221629107045,7,158.4721603564022
2.21221629107045,8,223.11177342107933
2.21221629107045,9,136.75419692005616
2.21221629107045,10,122.75611512383487
3.856620421163472,1,150.01015784685399
3.856620421163472,2,302.576156378879
3.856620421163472,3,239.17677697082615
3.856620421163472,4,131.85029019306697
3.856620421163472,5,236.4534737218524
3.856620421163472,6,124.07283578864866
3.856620421163472,7,158.52156216766306
