outer_fold,h,alpha,inner_cv_mse
2,24,1.0,498.2224967310952
2,24,10.0,493.1060963380011
2,24,100.0,444.91801612783036
3,1,0.0001,371.97442026856936
3,1,0.001,371.9743810091501
3,1,0.01,371.9705092528396
3,1,0.1,374.4694322562462
3,1,1.0,372.6131349150076
3,1,10.0,372.49503008113595
3,1,100.0,369.83652134646445
3,2,0.0001,398.80933454468504
3,2,0.001,398.8092223248753
3,2,0.01,398.8076494844796
3,2,0.1,398.48824791086486
3,2,1.0,397.72485639819513
3,2,10.0,397.0120402603171
3,2,100.0,390.92681944579607
3,4,0.0001,410.7742231640197
3,4,0.001,410.77454354478186
3,4,0.01,410.77700481382834
3,4,0.1,410.7189940917845
3,4,1.0,410.48850392336783
3,4,10.0,401.58842996601476
3,4,100.0,390.20207795702106
3,8,0.0001,395.864925526432
3,8,0.001,395.86520822413115
3,8,0.01,395.8556969399481
3,8,0.1,395.9148469991892
3,8,1.0,391.2889339910426
3,8,10.0,389.88509081208025
3,8,100.0,372.28134911617656
3,12,0.0001,465.2270593881159
3,12,0.001,468.0907768516001
3,12,0.01,465.24418220306154
3,12,0.1,468.7079035944318
3,12,1.0,460.3783021846135
3,12,10.0,450.04192188838545
3,12,100.0,416.0675031712153
3,16,0.0001,439.5224182440772
3,16,0.001,443.2951655377774
3,16,0.01,442.469148596647
3,16,0.1,439.388850170145
3,16,1.0,435.2513808226453
3,16,10.0,434.9033690601347
3,16,100.0,388.2522982005674
3,20,0.0001,460.6124634624821
3,20,0.001,459.5145764699174
3,20,0.01,459.54599155359756
3,20,0.1,460.14673192043995
3,20,1.0,465.40586212378076
3,20,10.0,462.4745805371487
3,20,100.0,414.03054154812725
3,24,0.0001,478.00533921882504
3,24,0.001,476.74599498760097
3,24,0.01,477.3318669227077
3,24,0.1,475.48858538800175
3,24,1.0,483.2746966924668
3,24,10.0,485.68463343335617
3,24,100.0,434.04151108875567
4,1,0.0001,364.7121616003616
4,1,0.001,364.71216403034384
4,1,0.01,365.1764354613861
4,1,0.1,365.24772474105544
4,1,1.0,364.8994630591423
4,1,10.0,365.1332914962869
4,1,100.0,367.4377864676603
4,2,0.0001,403.4962433243746
4,2,0.001,403.4961045761801
4,2,0.01,403.4954862928792
4,2,0.1,403.4693925907792
4,2,1.0,403.29783581030637
4,2,10.0,405.9542494427881
4,2,100.0,395.89290773562027
4,4,0.0001,412.71431107749834
4,4,0.001,412.72055362883475
4,4,0.01,412.77065969210787
4,4,0.1,404.6702972097897
4,4,1.0,404.48014873570384
4,4,10.0,400.29370712635284
4,4,100.0,381.96670366140273
4,8,0.0001,399.7403565018527
4,8,0.001,399.7395252955287
4,8,0.01,399.71842153229437
4,8,0.1,399.6683681690355
4,8,1.0,392.68836940257836
4,8,10.0,407.4853764985577
4,8,100.0,373.6799977340004
4,12,0.0001,498.7908571682982
4,12,0.001,498.61347548544654
4,12,0.01,498.54536705067477
4,12,0.1,498.6072719232292
4,12,1.0,467.2768959927565
4,12,10.0,442.111174359949
4,12,100.0,397.02646717062305
4,16,0.0001,444.8866315842368
4,16,0.001,444.51761340045323
4,16,0.01,446.5882945533911
4,16,0.1,443.9030800515413
4,16,1.0,446.94805918760693
4,16,10.0,433.56513689425526
4,16,100.0,376.0511450801929
4,20,0.0001,428.1519809036783
4,20,0.001,428.12816294791867
4,20,0.01,428.1630572919199
4,20,0.1,428.4538262787779
4,20,1.0,427.5849192131909
4,20,10.0,419.6051200728516
4,20,100.0,379.217090785536
4,24,0.0001,427.72262606397965
4,24,0.001,428.41202209019855
4,24,0.01,420.52779814000166
4,24,0.1,426.79509645371434
4,24,1.0,430.31477303658465
4,24,10.0,436.826532305062
4,24,100.0,381.452165103438
5,1,0.0001,379.4108173530226
5,1,0.001,379.02312672214197
5,1,0.01,379.0221608459809
5,1,0.1,379.32966167870626
5,1,1.0,379.3078182963579
5,1,10.0,380.3116768988361
5,1,100.0,381.6888845992579
5,2,0.0001,416.1179072139197
5,2,0.001,416.1176256548135
5,2,0.01,416.11661567925296
5,2,0.1,416.120907376604
5,2,1.0,416.1668556468926
5,2,10.0,416.58228496725167
5,2,100.0,409.81469366799973
5,4,0.0001,414.1120807203899
5,4,0.001,414.11156736242856
5,4,0.01,414.06164270853344
5,4,0.1,414.08528864301917
5,4,1.0,413.7325736239829
5,4,10.0,410.07554654821706
5,4,100.0,393.88307305747827
5,8,0.0001,433.87934872921585
5,8,0.001,433.8844933975826
5,8,0.01,433.8619017034425
5,8,0.1,433.2509116986801
5,8,1.0,434.4913299503352
5,8,10.0,431.6499316350279
5,8,100.0,404.1561619832206
5,12,0.0001,501.6844640704997
5,12,0.001,501.8588096995604
5,12,0.01,501.68563430451314
5,12,0.1,502.0728084720795
5,12,1.0,501.6529380292598
5,12,10.0,482.50987897452404
5,12,100.0,436.47128679768093
5,16,0.0001,443.9527684327647
5,16,0.001,443.8091623460392
5,16,0.01,445.33864915912164
5,16,0.1,448.032102231259
5,16,1.0,452.63138761952285
5,16,10.0,451.90103790168223
5,16,100.0,424.1558574574865
5,20,0.0001,472.9143228446818
5,20,0.001,472.9341881818476
5,20,0.01,472.9188866113179
5,20,0.1,475.8785472807129
5,20,1.0,469.6994090756025
5,20,10.0,465.5766613188005
5,20,100.0,410.5513981969731
5,24,0.0001,454.26040781017457
5,24,0.001,454.3058233436075
5,24,0.01,454.2634097809561
5,24,0.1,454.4727225807593
5,24,1.0,458.57509173333784
5,24,10.0,455.5850950506859
5,24,100.0,403.7707661202358
6,1,0.0001,387.5766935158428
6,1,0.001,387.5766461727343
6,1,0.01,387.23699652370686
6,1,0.1,387.60599813858715
6,1,1.0,388.1396995640138
6,1,10.0,386.667117228161
6,1,100.0,385.6015925109492
6,2,0.0001,398.31291284057727
6,2,0.001,398.3128199410845
6,2,0.01,398.31172999128734
6,2,0.1,398.30327205335647
6,2,1.0,397.4794122857207
6,2,10.0,400.09490536695444
6,2,100.0,395.8051257699798
6,4,0.0001,431.46705038628807
6,4,0.001,431.47485323865004
6,4,0.01,431.2310324489228
6,4,0.1,429.8171939323952
6,4,1.0,431.1080183689256
6,4,10.0,419.2343071006113
6,4,100.0,393.234302025027
6,8,0.0001,453.2989350647147
6,8,0.001,453.2963210538539
6,8,0.01,453.34389326328267
6,8,0.1,452.853412974999
6,8,1.0,457.5140386953053
