outer_fold,h,alpha,inner_cv_error
4,12,0.1,0.36062717770034847
4,12,1.0,0.34843205574912894
4,16,1e-06,0.3246225319396052
4,16,1e-05,0.3246225319396052
4,16,0.0001,0.3246225319396052
4,16,0.001,0.3246225319396052
4,16,0.01,0.3246225319396052
4,16,0.1,0.3246225319396052
4,16,1.0,0.3221835075493613
4,24,1e-06,0.3270034843205575
4,24,1e-05,0.3270034843205575
4,24,0.0001,0.3270034843205575
4,24,0.001,0.3270034843205575
4,24,0.01,0.3412891986062718
4,24,0.1,0.3412891986062718
4,24,1.0,0.33182346109175387
5,1,1e-06,0.6442508710801393
5,1,1e-05,0.6442508710801393
5,1,0.0001,0.6442508710801393
5,1,0.001,0.6442508710801393
5,1,0.01,0.6442508710801393
5,1,0.1,0.6442508710801393
5,1,1.0,0.6442508710801393
5,2,1e-06,0.6203252032520326
5,2,1e-05,0.6203252032520326
5,2,0.0001,0.6203252032520326
5,2,0.001,0.6203252032520326
5,2,0.01,0.6203252032520326
5,2,0.1,0.6203252032520326
5,2,1.0,0.6203252032520326
5,4,1e-06,0.6031939605110337
5,4,1e-05,0.6031939605110337
5,4,0.0001,0.6031939605110337
5,4,0.001,0.6031939605110337
5,4,0.01,0.6031939605110337
5,4,0.1,0.6031939605110337
5,4,1.0,0.6079558652729384
5,8,1e-06,0.3681184668989548
5,8,1e-05,0.3681184668989548
5,8,0.0001,0.3681184668989548
5,8,0.001,0.3681184668989548
5,8,0.01,0.3705574912891987
5,8,0.1,0.3705574912891987
5,8,1.0,0.37049941927990715
5,12,1e-06,0.39221835075493605
5,12,1e-05,0.39221835075493605
5,12,0.0001,0.39221835075493605
5,12,0.001,0.39221835075493605
5,12,0.01,0.39221835075493605
5,12,0.1,0.39221835075493605
5,12,1.0,0.39221835075493605
5,16,1e-06,0.3507549361207898
5,16,1e-05,0.3507549361207898
5,16,0.0001,0.3507549361207898
5,16,0.001,0.3507549361207898
5,16,0.01,0.3507549361207898
5,16,0.1,0.3507549361207898
5,16,1.0,0.3507549361207898
5,24,1e-06,0.3075493612078979
5,24,1e-05,0.3075493612078979
5,24,0.0001,0.3075493612078979
5,24,0.001,0.3075493612078979
5,24,0.01,0.3075493612078979
5,24,0.1,0.3075493612078979
5,24,1.0,0.3075493612078979
6,1,1e-06,0.6538908246225319
6,1,1e-05,0.6538908246225319
6,1,0.0001,0.6538908246225319
6,1,0.001,0.6538908246225319
6,1,0.01,0.6538908246225319
6,1,0.1,0.6538908246225319
6,1,1.0,0.6538908246225319
6,2,1e-06,0.6227061556329849
