lambda,fold,mse
0.014873521072935119,9,3.995362559734639
0.014873521072935119,10,2.8716057161184705
0.02592943797404667,1,5.834237842519504
0.02592943797404667,2,7.073253753537756
0.02592943797404667,3,2.794441552429897
0.02592943797404667,4,3.3421503242889643
0.02592943797404667,5,3.2780271373024306
0.02592943797404667,6,2.0938322736873363
0.02592943797404667,7,2.3777678554482025
0.02592943797404667,8,2.896133263202158
0.02592943797404667,9,3.9953475687422695
0.02592943797404667,10,2.8716176301507965
0.04520353656360245,1,5.83428474971849
0.04520353656360245,2,7.073057973407756
0.04520353656360245,3,2.7944498013177905
0.04520353656360245,4,3.3421427920963396
0.04520353656360245,5,3.277984175913252
0.04520353656360245,6,2.0938140221872974
0.04520353656360245,7,2.377767663767488
0.04520353656360245,8,2.8961449634872642
0.04520353656360245,9,3.9953214595821303
0.04520353656360245,10,2.871638403301422
0.07880462815669913,1,5.834366473612847
0.07880462815669913,2,7.072717048565168
0.07880462815669913,3,2.7944641790837785
0.07880462815669913,4,3.342129691169704
0.07880462815669913,5,3.277909353577099
0.07880462815669913,6,2.093782238964031
0.07880462815669913,7,2.3777673108250212
0.07880462815669913,8,2.896165356216455
0.07880462815669913,9,3.995276018836028
0.07880462815669913,10,2.871674627059656
0.1373823795883264,1,5.834508791140149
0.1373823795883264,2,7.0721238692486645
0.1373823795883264,3,2.7944892358574793
0.1373823795883264,4,3.342106943413641
0.1373823795883264,5,3.2777791365495537
0.1373823795883264,6,2.093726936954133
0.1373823795883264,7,2.3777666385465825
0.1373823795883264,8,2.8962008931097096
0.1373823795883264,9,3.9951970315278924
0.1373823795883264,10,2.8717378052270552
0.2395026619987486,1,5.834756430282669
0.2395026619987486,2,7.071093285915522
0.2395026619987486,3,2.7945328924293515
0.2395026619987486,4,3.342067563520748
0.2395026619987486,5,3.2775528005452736
0.2395026619987486,6,2.093630850252124
0.2395026619987486,7,2.3777652938477374
0.2395026619987486,8,2.8962628019716354
0.2395026619987486,9,3.9950600299407446
0.2395026619987486,10,2.8718480308743892
0.4175318936560405,1,5.835186733519229
0.4175318936560405,2,7.069307260198909
0.4175318936560405,3,2.7946089218227113
0.4175318936560405,4,3.341999747472475
0.4175318936560405,5,3.277160261749869
0.4175318936560405,6,2.0934643151089385
0.4175318936560405,7,2.377762427314385
0.4175318936560405,8,2.8963705966322086
0.4175318936560405,9,3.9948233039621175
0.4175318936560405,10,2.8720404470317447
0.7278953843983154,1,5.835932632158738
0.7278953843983154,2,7.06622544695148
0.7278953843983154,3,2.794741225363269
0.7278953843983154,4,3.34188403352905
0.7278953843983154,5,3.2764820701220336
0.7278953843983154,6,2.0931769244889296
0.7278953843983154,7,2.377755856266571
0.7278953843983154,8,2.896558113201121
0.7278953843983154,9,3.994416969255369
0.7278953843983154,10,2.8723766573542147
1.2689610031679235,1,5.8372202032704
1.2689610031679235,2,7.060947161411971
